Category,Work Item ID,Title,Type,Priority,Priority Group,Story Points,Created By,State,URL,Description,Steps to Reproduce
Title match,3382577,"508: {QED:US}:accessibility issue on communication screen (based on screen resolution)",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3382577,,
Title match,3975792,"[Accessibility][508][2025.5.0] Invisible Button with no functionality is observed on communications dashboard",Bug,,,,,New,https://dev.azure.com/tr-tax/Tax/Prof/_workitems/edit/3975792,,
Title match,2715757,"508: [AdvanceFlow] [1.4.10] [Communications Tab]: 400% zoom test fails",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/2715757,,
Title match,2715758,"508: [AdvanceFlow] [1.4.4] [Communications Tab]: Contents get cut in 200% zoom",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/2715758,,
Title match,2715771,"508: [AdvanceFlow] [2.1.1] [Communications Tab]: Checkboxes are not operable with JAWS and keyboard",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/2715771,,
Title match,2715781,"508: [AdvanceFlow] [3.3.2] [Communications Tab]: JAWS fails to announce the number of items in the list in the dropdown",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/2715781,,
Title match,3075521,"508: [Cloud Audit Suite] [EPC] [1.4.12] [Workpapers]: The content on the page is getting truncated because of text spacing",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075521,,
Title match,3075523,"508: [Cloud Audit Suite] [EPC] [2.4.1] [Workpapers]: Skip Links are not defined on the page.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075523,,
Title match,3075524,"508: [Cloud Audit Suite] [EPC] [2.4.7] [Workpapers]: Focus is not visible for buttons.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075524,,
Title match,3075525,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Tooltip information is not visible once the keyboard focuses triggers.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075525,,
Title match,3075529,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: B, I, U are Not accessible using keyboard.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075529,,
Title match,3075531,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Ensures buttons have discernible text",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075531,,
Title match,3075533,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Ensures links have discernible text",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075533,,
Title match,3075534,"508: [Cloud Audit Suite] [EPC] [2.1.1] [Workpapers]: Checkboxes not accessible using the keyboard.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075534,,
Title match,3075535,"508: [Cloud Audit Suite] [EPC] [1.4.10] [Workpapers]: Content is getting overlapped after resizing the page to 400% zoom.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075535,,
Title match,3075536,"508: [Cloud Audit Suite] [EPC] [1.4.10] [Workpapers]:Ensure pages reflow without loss of content or functionality",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075536,,
Title match,3075537,"508: [Cloud Audit Suite] [EPC] [TR Standard] [Workpapers]: Expanded list items are not getting closed esc key.",Bug,,,,,Active,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075537,,
Title match,3075542,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: The modal heading should be given as H2 level.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075542,,
Title match,3075546,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Form inputs do not have properly associated labels in reports section. ",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075546,,
Title match,3075548,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: NVDA is not announcing the label associated with the form Field.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075548,,
Title match,3075554,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: List items in drop down menus are not getting conveyed to the screen reader user.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075554,,
Title match,3075555,"508: [Cloud Audit Suite] [EPC] [1.4.11] [Workpapers]: Focus Indicator for datepicker doesn’t meet the required contrast ratio of 3:1",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075555,,
Title match,3075556,"508: [Cloud Audit Suite] [EPC] [4.1.2] [Workpapers]: Datepicker needs discernible text",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075556,,
Title match,3075558,"508: [Cloud Audit Suite] [EPC] [1.4.11] [Workpapers]: Close button doesn’t meet the required contrast ratio of 3:1.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075558,,
Title match,3075559,"508: [Cloud Audit Suite] [EPC] [1.3.1] [Workpapers]: Multiple H1 heading is defined on the page.",Bug,,,,,New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3075559,,
