Category, Work Item ID, Title, Type, Priority, Priority Group, Story Points, Created By, State, URL
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3971336,"508: [Engagement Manager][Add engagement][4.1.2]: Invalid aria attribute on tabpanels",Bug,2,P1/P2,3,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3971336
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3971390,"508: [Engagement Manager][Add engagement][1.3.1]: Form fields' labels improperly marked as headings (Steps 3, 4, and 6)",Bug,2,P1/P2,3,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3971390
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3971444,"508: [Engagement Manager][Add engagement][4.1.2]: Calendar buttons lack unique and descriptive name (steps 4 and 6)",Bug,2,P1/P2,1,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3971444
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3971474,"508: [Engagement Manager][Add engagement][2.1.1]: Scrollable grid cannot be scrolled, nor clients can be selected (steps 1 and 2)",Bug,2,P1/P2,5,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3971474
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3971482,"508: [Engagement Manager][Add engagement][2.1.1]: Clients grid's sorting controls not focusable / operable (steps 1 and 2)",Bug,2,P1/P2,2,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3971482
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3971534,"508: [Engagement Manager][Add engagement][2.4.3]: Focus order is illogical within ""Account Groupings"" grid (step 5)",Bug,2,P1/P2,3,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3971534
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3971550,"508: [Engagement Manager][Add engagement][2.4.7]: ""Next step"" control lacks visual focus indicator",Bug,2,P1/P2,1,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3971550
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3973701,"508: [Engagement Manager][Add engagement][2.4.3]: After activating ""Cancel"" focus does not return to the triggering control",Bug,2,P1/P2,2,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3973701
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3973725,"508: [Engagement Manager][Add engagement][3.2.2]: Forcibly shifted focus after selecting an ""Engagement Source*"" option (step 2)",Bug,2,P1/P2,2,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3973725
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3973845,"508: [Engagement Manager][Add engagement][4.1.2]: Comboboxes lack name and aria attributes, they are improperly formed with two focusable elements",Bug,2,P1/P2,5,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3973845
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3973913,"508: [Engagement Manager][Add engagement][2.4.7]: No focus indicator for ""Engagement Type"" combobox (step 3)",Bug,2,P1/P2,1,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3973913
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3974008,"508: [Engagement Manager][Add engagement][4.1.2]: Dialogs lack name (Steps 2, 3, 4, and 6)",Bug,2,P1/P2,3,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3974008
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3974010,"508: [Engagement Manager][Add engagement][4.1.2]: ""Add engagement"" dialog lacks name and role",Bug,2,P1/P2,2,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3974010
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3974033,"508: [Engagement Manager][Add engagement][2.4.3]: Invisible element receives focus in step 1, and in ""Select Client"" dialog (step 2)",Bug,2,P1/P2,3,"Rozenberg, Marilina",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3974033
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3975796,"508: [Engagement Manager][Properties][4.1.2]: No role is provided for Properties",Bug,2,P1/P2,1,"Gupta, Himalaya (TR Product)",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3975796
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3976156,"508: [Engagement Manager][Properties][4.1.2]: Expanded state of properties is not announced by screen reader",Bug,3,P3/P4,2,"Gupta, Himalaya (TR Product)",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3976156
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3976555,"508: [Engagement Manager][Properties][4.1.2]: No Accessible name and role is provided for Engagement management properties, and Guided assurance properties.",Bug,2,P1/P2,3,"Gupta, Himalaya (TR Product)",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3976555
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3976700,"508: [Engagement Manager][Properties][1.3.1]: Incorrect role radio is provided instead of tab to General, Trail balance, dates, Content and history",Bug,2,P1/P2,2,"Gupta, Himalaya (TR Product)",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3976700
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3976746,"508: [Engagement Manager][Properties][4.1.2]: Incorrect state checked is announced instead of Selected for General, Trail balance, dates, Content and history",Bug,2,P1/P2,2,"Gupta, Himalaya (TR Product)",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3976746
"Add/Edit/Delete Engagement (incl. Engagement Properties)",3976750,"508: [Engagement Manager][Properties][2.4.7]: Focus outline is not clearly visible on Go Back button",Bug,2,P1/P2,1,"Gupta, Himalaya (TR Product)",New,https://dev.azure.com/tr-tax/TaxProf/_workitems/edit/3976750

Pivot Summary,,,Item Count,Total SP,P1/P2 SP,P3/P4 SP,
Add/Edit/Delete Engagement (incl. Engagement Properties),,,20,47,45,2,
Setup,,,0,0,0,0,
Workpapers (incl. Workpaper Properties),,,0,0,0,0,
Grand Total,,,20,47,45,2,
